pH,T,S,EC,TDS,DO,WT,FC,BOD,COD,NO3,PO4,NSF,CCME
7.83,4.17,0.47,607.28,332.37,4.63,21.13,837.29,2.9,135.96,2.62,14.27,44.68,49.07
7.64,6.18,0.31,632.87,316.29,4.34,21.91,635.07,2.3,85.03,2.1,9.18,46.62,55.33
7.72,5.64,0.45,852.63,484.7,4.46,22.37,934.43,2.92,177.53,2.86,12.78,42.79,46.7
7.79,6.05,0.42,845.8,421.87,4.24,22.86,804.97,2.33,117.01,1.91,11.06,45.27,51.28
7.79,6.06,0.47,948.58,472.33,4.25,23.35,405.08,1.82,137.33,2.26,10.63,46.17,52.53
7.64,5.81,0.37,727.5,382.53,4.35,22.17,777.19,2.48,120.96,2.3,11.89,45.38,50.66
7.84,5.62,0.5,924.64,481.78,4.5,22.53,669.33,2.55,151.73,2.69,9.82,43.7,50.35
7.85,4.17,0.43,878.8,438.2,4.28,22.29,479.6,2.09,104.96,1.57,11.27,46.31,53.6
7.69,4.81,0.35,723.05,397.8,4.38,21.67,860.81,2.67,126.07,2.03,12.67,44.83,49.88
7.75,6.09,0.44,827.71,442.03,4.4,22.38,943.53,2.77,159.82,2.82,14.21,43.18,46.5
7.59,4.52,0.32,560.83,358.58,4.32,21.24,806.58,2.67,133.6,2.01,13.21,46.26,54.46
7.65,8.1,0.35,720.06,359.62,4.29,22.48,627.93,2.2,103.29,2.46,8.72,46.06,56.1
7.6,4.61,0.3,586.94,347.25,4.42,21.82,944.94,2.9,128.09,2.19,12.44,45.08,49.57
7.81,4.76,0.46,913.84,454.2,4.46,22,609.54,2.33,149.12,2.49,11.75,44.7,50.53
7.63,5.24,0.41,683.11,418.97,4.6,21.84,987.74,3.15,158.8,2.91,14.49,43.03,45.98
7.65,6.24,0.37,696.14,378.92,4.33,21.93,916.7,2.68,117,2.23,11.65,45.05,51.54
7.67,4.77,0.4,515.82,316.98,4.51,21.38,753.56,2.7,124.99,2.49,13.34,45.78,52.56
7.79,6.12,0.39,793.23,387.91,4.39,21.96,717.52,2.42,114.53,2.33,10.54,44.91,51.38
7.79,4.06,0.35,664.3,357.48,4.48,21.06,1021.29,3.03,118.13,2.13,13.95,44.02,46.85
7.6,5.92,0.34,712.89,393.69,4.39,22,880.23,2.7,139.62,2.51,13,44.62,49.89
7.69,5.9,0.38,726.45,424.75,4.43,21.82,1110.27,3.06,157.27,2.67,14.33,43.14,46
7.64,6.17,0.42,717.04,419.37,4.45,22.27,911.86,2.89,152.63,2.9,12.2,43.23,47.51
